id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
icane,https://lod-cloud.net/dataset/icane,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia,https://lod-cloud.net/dataset/dbpedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-es,https://lod-cloud.net/dataset/dbpedia-es,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
geographic-names-information-system-gnis,https://lod-cloud.net/dataset/geographic-names-information-system-gnis,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lod2-project-wiki,https://lod-cloud.net/dataset/lod2-project-wiki,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
open-data-thesaurus,https://lod-cloud.net/dataset/open-data-thesaurus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opencalais,https://lod-cloud.net/dataset/opencalais,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
foodpedia,https://lod-cloud.net/dataset/foodpedia,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ispra-lod-place,https://lod-cloud.net/dataset/ispra-lod-place,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-crunchbase,https://lod-cloud.net/dataset/linked-crunchbase,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
talis-openlibrary,https://lod-cloud.net/dataset/talis-openlibrary,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbpedia-el,https://lod-cloud.net/dataset/dbpedia-el,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opencyc,https://lod-cloud.net/dataset/opencyc,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
yago,https://lod-cloud.net/dataset/yago,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
enipedia,https://lod-cloud.net/dataset/enipedia,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
w3c,https://lod-cloud.net/dataset/w3c,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
meducator,https://lod-cloud.net/dataset/meducator,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
productontology,https://lod-cloud.net/dataset/productontology,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
influence-tracker-dataset,https://lod-cloud.net/dataset/influence-tracker-dataset,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
muninn-world-war-i,https://lod-cloud.net/dataset/muninn-world-war-i,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
nobelprizes,https://lod-cloud.net/dataset/nobelprizes,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
epa-rcra,https://lod-cloud.net/dataset/epa-rcra,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
epa-frs,https://lod-cloud.net/dataset/epa-frs,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
umbel,https://lod-cloud.net/dataset/umbel,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
museums-in-italy,https://lod-cloud.net/dataset/museums-in-italy,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-pt,https://lod-cloud.net/dataset/dbpedia-pt,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
sandrart-net,https://lod-cloud.net/dataset/sandrart-net,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dnb-gemeinsame-normdatei,https://lod-cloud.net/dataset/dnb-gemeinsame-normdatei,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
NITP,https://lod-cloud.net/dataset/NITP,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lak-dataset,https://lod-cloud.net/dataset/lak-dataset,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
thecontentwrangler-com,https://lod-cloud.net/dataset/thecontentwrangler-com,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
schemapedia,https://lod-cloud.net/dataset/schemapedia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linked-open-numbers,https://lod-cloud.net/dataset/linked-open-numbers,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
